,TPM,Gene Heterogeneity,log10TPM,htg.qtl
PUSL1,131.2341911453729,0.637641479940148,2.118046998844896,0.25
AURKAIP1,453.3402052476904,0.6836123418055016,2.6564242369120232,0.5
MRPL20,36.86812991272478,0.6604165498130993,1.5666511091498636,0.5
ATAD3A,26.66838578302537,0.687405212672393,1.4259967289729236,0.75
SSU72,208.7142856359626,0.6931705018593322,2.3195521757570647,0.75
GNB1,73.614707612865,0.7186686471729572,1.8669645914704913,1.0
FAAP20,41.94142783736288,0.6391494646935932,1.6226432113303833,0.25
LRRC47,27.920960285697014,0.710785843571284,1.4459303508998138,1.0
C1orf174,68.0378274746827,0.6883833752312629,1.8327504376445187,0.75
RPL22,182.02975132600463,0.6221111927856475,2.2601423757914,0.25
ACOT7,168.52265651695987,0.7153470948452905,2.22665829653577,1.0
PARK7,580.701784061044,0.7006691026559875,2.763953160296587,0.75
ENO1,1680.965081712171,0.6844910468226549,3.2255586920371937,0.5
PGD,170.05671787919064,0.6845989543615397,2.2305937928711224,0.5
SRM,418.6542201452088,0.7103250148728022,2.6218554733695587,1.0
MAD2L2,427.7650910729379,0.6834438989612712,2.631205339905933,0.5
UQCRHL,141.122979969029,0.618181271707258,2.1495977384966545,0.25
MFAP2,323.45197469031035,0.6421205724709375,2.509809806873902,0.25
RCC2,129.348253242343,0.6506342944930539,2.1117605682490534,0.25
CAPZB,122.68772593756293,0.7100602918265182,2.088801116726834,1.0
MICOS10,45.12857470414586,0.7017847069523991,1.6544516174133579,1.0
CDC42,38.93212556002213,0.6946909752117013,1.5903081153490006,0.75
KDM1A,88.21984401364985,0.7025911568357524,1.945566285543148,1.0
HNRNPR,74.8454365305823,0.7157600254789545,1.8741653257210884,1.0
ID3,135.01282257321228,0.6767878313615043,2.130375016704932,0.5
RPL11,2338.131334136872,0.5067702662243551,3.3688689020734603,0.25
LYPLA2,130.34114780700918,0.6746128573373409,2.1150815411498023,0.5
SRRM1,41.57660424165089,0.7112154509258748,1.618849015554937,1.0
STMN1,96.37429981587594,0.7094747519563639,1.9839612358091454,1.0
SH3BGRL3,536.202766096865,0.6892491234953032,2.729329050037585,0.75
LIN28A,286.729407785183,0.6650689690380049,2.4574722377105576,0.5
HMGN2,483.7114808911686,0.6556758212178934,2.6845863954895695,0.25
NUDC,198.90144050782033,0.700090869286962,2.298637928435306,0.75
TENT5B,66.00201472456305,0.6980718936305481,1.8195571926692267,0.75
DNAJC8,143.71455088699426,0.7142430187169093,2.1575007420382213,1.0
ATP5IF1,1135.5110625614698,0.6315937897246,3.05519136963105,0.25
YTHDF2,31.731865650636184,0.7117186918000818,1.5014956068611187,1.0
PTP4A2,92.73318359784794,0.7126396276580431,1.9672351696853132,1.0
KHDRBS1,135.5204348565016,0.717972469855359,2.1320047865482907,1.0
