sample_id	transfer	treatment	ref	cell_id
RHX644	in_vivo	DMSO	WT	W1
RHX645	in_vivo	NAI_N3	WT	W1
RHX646	in_vivo	NAI_N3	WT	W9
RHX647	in_vivo	NAI_N3	WT	W17
RHX651	in_vivo	DMSO	WT	W2
RHX652	in_vivo	NAI_N3	WT	W2
RHX653	in_vivo	NAI_N3	WT	W10
RHX654	in_vivo	NAI_N3	WT	W18
RHX658	in_vivo	DMSO	WT	W3
RHX659	in_vivo	NAI_N3	WT	W3
RHX660	in_vivo	NAI_N3	WT	W11
RHX661	in_vivo	NAI_N3	WT	W19
RHX665	in_vivo	DMSO	WT	W4
RHX666	in_vivo	NAI_N3	WT	W4
RHX667	in_vivo	NAI_N3	WT	W12
RHX668	in_vivo	NAI_N3	WT	W20
RHX673	in_vivo	NAI_N3	WT	W5
RHX674	in_vivo	NAI_N3	WT	W13
RHX675	in_vivo	NAI_N3	WT	W21
RHX680	in_vivo	NAI_N3	WT	W6
RHX681	in_vivo	NAI_N3	WT	W14
RHX682	in_vivo	NAI_N3	WT	W22
RHX687	in_vivo	NAI_N3	WT	W7
RHX688	in_vivo	NAI_N3	WT	W15
RHX689	in_vivo	NAI_N3	WT	W23
RHX694	in_vivo	NAI_N3	WT	W8
RHX695	in_vivo	NAI_N3	WT	W16
RHX696	in_vivo	NAI_N3	WT	W24
RHX700	in_vitro	DMSO	WT	W1
RHX701	in_vitro	NAI_N3	WT	W1
RHX702	in_vitro	NAI_N3	WT	W9
RHX703	in_vitro	NAI_N3	WT	W17
RHX707	in_vitro	DMSO	WT	W2
RHX708	in_vitro	NAI_N3	WT	W2
RHX709	in_vitro	NAI_N3	WT	W10
RHX710	in_vitro	NAI_N3	WT	W18
RHX714	in_vitro	DMSO	WT	W3
RHX715	in_vitro	NAI_N3	WT	W3
RHX716	in_vitro	NAI_N3	WT	W11
RHX717	in_vitro	NAI_N3	WT	W19
RHX721	in_vitro	DMSO	WT	W4
RHX722	in_vitro	NAI_N3	WT	W4
RHX723	in_vitro	NAI_N3	WT	W12
RHX724	in_vitro	NAI_N3	WT	W20
RHX728	in_vitro	DMSO	WT	M1
RHX729	in_vitro	NAI_N3	WT	W5
RHX730	in_vitro	NAI_N3	WT	W13
RHX735	in_vitro	NAI_N3	WT	W6
RHX736	in_vitro	NAI_N3	WT	W14
RHX741	in_vitro	NAI_N3	WT	W7
RHX742	in_vitro	NAI_N3	WT	W15
RHX747	in_vitro	NAI_N3	WT	W8
RHX748	in_vitro	NAI_N3	WT	W16
RHX648	in_vivo	NAI_N3	MT	M1
RHX649	in_vivo	NAI_N3	MT	M9
RHX650	in_vivo	NAI_N3	MT	M17
RHX655	in_vivo	NAI_N3	MT	M2
RHX656	in_vivo	NAI_N3	MT	M10
RHX657	in_vivo	NAI_N3	MT	M18
RHX662	in_vivo	NAI_N3	MT	M3
RHX663	in_vivo	NAI_N3	MT	M11
RHX664	in_vivo	NAI_N3	MT	M19
RHX669	in_vivo	NAI_N3	MT	M4
RHX670	in_vivo	NAI_N3	MT	M12
RHX671	in_vivo	NAI_N3	MT	M20
RHX672	in_vivo	DMSO	MT	M1
RHX676	in_vivo	NAI_N3	MT	M5
RHX677	in_vivo	NAI_N3	MT	M13
RHX678	in_vivo	NAI_N3	MT	M21
RHX679	in_vivo	DMSO	MT	M2
RHX683	in_vivo	NAI_N3	MT	M6
RHX684	in_vivo	NAI_N3	MT	M14
RHX685	in_vivo	NAI_N3	MT	M22
RHX686	in_vivo	DMSO	MT	M3
RHX690	in_vivo	NAI_N3	MT	M7
RHX691	in_vivo	NAI_N3	MT	M15
RHX692	in_vivo	NAI_N3	MT	M23
RHX693	in_vivo	DMSO	MT	M4
RHX697	in_vivo	NAI_N3	MT	M8
RHX698	in_vivo	NAI_N3	MT	M16
RHX699	in_vivo	NAI_N3	MT	M24
RHX704	in_vitro	NAI_N3	MT	M1
RHX705	in_vitro	NAI_N3	MT	M9
RHX711	in_vitro	NAI_N3	MT	M2
RHX712	in_vitro	NAI_N3	MT	M10
RHX718	in_vitro	NAI_N3	MT	M3
RHX719	in_vitro	NAI_N3	MT	M11
RHX725	in_vitro	NAI_N3	MT	M4
RHX726	in_vitro	NAI_N3	MT	M12
RHX731	in_vitro	NAI_N3	MT	M17
RHX732	in_vitro	NAI_N3	MT	M5
RHX733	in_vitro	NAI_N3	MT	M13
RHX734	in_vitro	DMSO	MT	M2
RHX737	in_vitro	NAI_N3	MT	M18
RHX738	in_vitro	NAI_N3	MT	M6
RHX739	in_vitro	NAI_N3	MT	M14
RHX740	in_vitro	DMSO	MT	M3
RHX743	in_vitro	NAI_N3	MT	M19
RHX744	in_vitro	NAI_N3	MT	M7
RHX745	in_vitro	NAI_N3	MT	M15
RHX746	in_vitro	DMSO	MT	M4
RHX749	in_vitro	NAI_N3	MT	M20
RHX750	in_vitro	NAI_N3	MT	M8
RHX751	in_vitro	NAI_N3	MT	M16
RHX706	18s	DMSO	WT	R1
RHX713	18s	DMSO	WT	R2
RHX720	18s	NAI_N3	WT	R1
RHX727	18s	NAI_N3	WT	R2
